Serial No.,Sentence,Option 1,Option 2,Correct Option,Notes
1,The cat _____ on the windowsill.,slept,danced,1
2,Her _____ painting won first prize.,sloppy,exquisite,2
3,Children _____ playing in the park.,hate,enjoy,1
4,The _____ car wouldn't start.,new,broken,2
5,He _____ his coffee with sugar.,ruined,sweetened,1
6,The _____ puppy chewed my shoes.,well-behaved,naughty,2
7,She _____ the difficult exam.,failed,aced,1
8,The _____ flowers brightened the room.,fresh,wilted,2
9,Our team _____ the championship.,lost,won,1
10,The _____ movie made everyone cry.,happy,sad,2
11,He _____ his grandmother every Sunday.,ignored,visited,1
12,The _____ cookies smelled delicious.,burnt,chocolate-chip,2
13,She _____ the heavy box easily.,dropped,lifted,1
14,The _____ bird sang beautifully.,silent,colorful,2
15,We _____ at the funny joke.,cried,laughed,1
16,The _____ baby kept everyone awake.,sleeping,crying,2
17,He _____ the correct answer.,forgot,knew,1
18,The _____ soup needed more salt.,tasteless,delicious,2
19,She _____ her bike to school.,walked,rode,1
20,The _____ phone had a cracked screen.,new,damaged,2
21,They _____ the hidden treasure.,lost,found,1
22,The _____ teacher explained things clearly.,confusing,patient,2
23,My dog _____ strangers.,loves,fears,1
24,The _____ tree provided shade.,dead,tall,2
25,She _____ the piano beautifully.,played,ignored,1
26,The _____ shoes hurt my feet.,comfortable,tight,2
27,He _____ the door loudly.,whispered,slammed,1
28,The _____ student always finished first.,slow,quick,2
29,We _____ the mountain before sunset.,abandoned,climbed,1
30,The _____ milk smelled sour.,fresh,spoiled,2
31,She _____ her little brother.,teased,protected,1
32,The _____ light kept me awake.,dim,bright,2
33,He _____ his homework on time.,forgot,completed,1
34,The _____ joke made no one laugh.,funny,unfunny,2
35,We _____ the museum in one hour.,left,explored,1
36,The _____ shirt had many holes.,clean,torn,2
37,She _____ the secret carefully.,blabbed,kept,1
38,The _____ road was easy to follow.,confusing,straight,2
39,He _____ the ball out of the park.,dropped,hit,1
40,The _____ child shared his toys.,selfish,generous,2
41,The _____ fire kept us warm.,dying,roaring,1
42,She _____ all the questions correctly.,missed,answered,2
43,The _____ computer worked perfectly.,slow,fast,1
